party_id,country_name_short,party_name_short,facebook_cap_coverage,twitter_cap_coverage,instagram_cap_coverage
50,AUT,FPO,classified,classified,classified
1429,AUT,Gruene,classified,classified,classified
2255,AUT,NEOS,classified,classified,classified
1013,AUT,OVP,classified,classified,classified
2651,AUT,PILZ,no_account,no_account,classified
973,AUT,SPO,classified,classified,classified
2150,AUT,TS,no_account,classified,classified
1594,BEL,AGL-Gr,classified,classified,classified
723,BEL,CVP|CD&V,classified,classified,classified
161,BEL,Ecolo,classified,classified,classified
969,BEL,FDF,classified,classified,classified
915,BEL,MR,classified,classified,classified
501,BEL,N-VA,classified,classified,classified
256,BEL,PA-PTB,classified,classified,classified
1378,BEL,PS,classified,classified,classified
1192,BEL,PSC-CDH,classified,classified,classified
1110,BEL,PVV|VLD,classified,classified,classified
438,BEL,Pp,classified,classified,no_account
1113,BEL,SPa+Spi,classified,classified,classified
993,BEL,VB,classified,classified,classified
1213,CHE,BDP,classified,classified,classified
1318,CHE,EDU-UDF,classified,classified,classified
602,CHE,EVP-PEP,classified,classified,classified
26,CHE,FDP-PRD,classified,classified,classified
308,CHE,GPL-PVL,classified,classified,classified
141,CHE,Grue,classified,classified,classified
531,CHE,KK/CVP,classified,classified,classified
1500,CHE,LdT,classified,classified,classified
2599,CHE,MCR,classified,classified,no_account
1226,CHE,S,classified,no_account,no_account
35,CHE,SP-PS,classified,classified,classified
750,CHE,SVP-UDC,classified,classified,classified
2263,CZE,ANO,classified,classified,classified
789,CZE,CSSD,classified,classified,classified
1245,CZE,KDU-CSL,classified,classified,classified
1173,CZE,KSCM,classified,classified,classified
829,CZE,ODS,classified,classified,classified
2261,CZE,Pi,classified,classified,classified
2654,CZE,SPD,classified,no_account,classified
2024,CZE,STAN,classified,classified,classified
196,CZE,SZ,classified,classified,classified
2,CZE,TOP09,classified,classified,classified
336,CZE,VV,classified,classified,no_account
2253,DEU,AfD,classified,classified,classified
772,DEU,B90/Gru,classified,classified,classified
808,DEU,CDU,classified,classified,classified
1180,DEU,CSU,classified,classified,classified
543,DEU,FDP,classified,classified,classified
791,DEU,PDS|Li,classified,classified,classified
558,DEU,SPD,classified,classified,classified
2850,DEU,SSW,no_account,classified,classified
2567,DNK,A,classified,classified,classified
2888,DNK,AE,classified,classified,classified
1418,DNK,DF,classified,classified,classified
306,DNK,En-O,classified,classified,classified
1891,DNK,IA,classified,no_account,classified
1894,DNK,Jf,classified,no_account,no_account
590,DNK,KF,classified,classified,classified
2887,DNK,M,classified,classified,classified
2781,DNK,NB,classified,classified,classified
376,DNK,NLA,classified,classified,classified
211,DNK,RV,classified,classified,classified
1644,DNK,SF,classified,classified,classified
1892,DNK,Sbf,no_account,no_account,classified
1629,DNK,Sd,classified,classified,classified
74,DNK,Si,classified,no_account,classified
2568,DNK,TRUE,classified,classified,classified
1605,DNK,V,classified,classified,classified
645,ESP,AP-P,classified,classified,classified
520,ESP,BNG,classified,classified,classified
385,ESP,Bai,no_account,classified,classified
234,ESP,CC,classified,classified,classified
2605,ESP,CDC|JxCat,classified,no_account,classified
2792,ESP,CUP,classified,no_account,classified
2375,ESP,Cs,classified,classified,classified
2607,ESP,C|AV,classified,classified,classified
845,ESP,EA,classified,classified,classified
2606,ESP,ECP,classified,no_account,classified
2603,ESP,EHB,classified,no_account,classified
757,ESP,ERC,classified,classified,classified
